,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cos Zenith,Precipitable Water,ts_Year_sin,ts_Year_cos,ts_Day_sin,ts_Day_cos
2019-01-01 00:00:00,-0.09723588761251278,-3.114064610385185,0.9850817822113811,-0.27949387637079287,3.5,0.002021324930284918,0.9999979571206763,-5.030094642409727e-12,1.0
2019-01-01 00:30:00,-0.07169272433876728,-3.9906822240108113,1.2414092041435936,-0.3804248286432575,3.5,0.0023797152497872683,0.9999971684736562,0.13052619221966189,0.9914448613738617
2019-01-01 01:00:00,-0.22129338726369951,-4.962822176604163,1.535239380789676,-0.4783853549093016,3.5,0.002738105263628894,0.9999962513827565,0.25881904509256404,0.9659258262917363
2019-01-01 01:30:00,-0.3085381182716702,-5.076452075094551,1.9251703663899775,-0.5715731600395367,3.5,0.0030964949258335053,0.9999952058480952,0.3826834323598505,0.923879532513457
2019-01-01 02:00:00,-0.3092345760568165,-4.5480024695375505,2.3218791935974252,-0.6586894601186801,3.6,0.003454884190254327,0.9999940318698066,0.49999999999910455,0.8660254037849556
2019-01-01 02:30:00,-0.2418121050874973,-3.44487494568358,2.736401829293982,-0.7379844088343465,3.7,0.003813273010915163,0.9999927294480415,0.6087614290000344,0.7933533402979004
2019-01-01 03:00:00,-0.13409074985813163,-2.180433548079918,3.18651301659915,-0.8081955029958267,3.8,0.004171661341783033,0.9999912985829673,0.7071067811820845,0.7071067811910107
2019-01-01 03:30:00,-0.005544541514787227,-0.9613382435073277,3.6645559430922674,-0.8681988144891422,3.9,0.004530049136825021,0.9999897392747676,0.7933533402902156,0.6087614290100493
2019-01-01 04:00:00,0.12679391773556148,0.08440088829070191,4.134453740045984,-0.916781471560087,4.0,0.004888436350008276,0.9999880515236428,0.8660254037786438,0.5000000000100369
2019-01-01 04:30:00,0.2485974963128541,0.8762371879028592,4.543097037633714,-0.9532961567221576,4.0,0.005246822935300024,0.9999862353298097,0.9238795325086261,0.38268343237151314
